Development_Start_Date,Purchased_Date,City,Locality,Property_Type,Developer_Name,Year_Of_Esablishment,CEO,Number_Of_Employees,Service_Amount,Rating,Investor_Name,CITY_Investors,sq_ft_cost,PURCHASE_AMOUNT,AREA_PURCHASED
16-Apr-13,05-May-13,Chennai,T-Nagar,Residential,Amrapalli Group,1973,Dr.Anil Kumar Sharma,1023,0.51,A,Edwina Orn,meerut,11577,37562966,6362
24-Mar-13,12-Apr-13,Chennai,Anna Nagar,Residential,Hiranandhani Developers,1980,Dr.RL Bhatia,1600,0.04,C,Miss Clarabelle Muller,rajkot,11376,3889227,8547
25-Apr-11,14-May-11,Chennai,Adyar,Residential,Jain Builders,2005,Mr.Sandheep Mehta,775,0.77,E,Sophie Mann,kalyan-dombivali,9743,56618424,7547
10-May-11,29-May-11,Chennai,Porur,Residential,Mantri Group,1999,Sushil Mantri,5464,0.94,D,Ross Stanton,vasai-virar,2922,27139945,9881
03-Aug-12,22-Aug-12,Chennai,OMR,Residential,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Pierce Wehner Sr.,varanasi,4122,9249850,7738
08-Nov-11,27-Nov-11,KOLKATA,New Alipore,Commercial,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Ransom Rodriguez PhD,srinagar,6186,11918937,6644
13-Jan-11,01-Feb-11,KOLKATA,Salt Lake,Commercial,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Ms. Stefan Heathcote,aurangabad,4545,7883257,5981
14-Jan-11,02-Feb-11,KOLKATA,Dum Dum,Commercial,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Rasheed Kuhic,dhanbad,2595,7103319,9439
15-Jan-11,03-Feb-11,KOLKATA,Tollygunge,Commercial,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Mrs. Candida Legros,amritsar,2808,5275165,6478
16-Jan-11,04-Feb-11,KOLKATA,Ballygunge,Commercial,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Dovie Reichert,navi mumbai,6014,11135823,6385
17-Jan-11,05-Feb-11,KOLKATA,New Alipore,Residential,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Mrs. Erika Schroeder,allahabad,4243,11120988,9038
18-Jan-11,06-Feb-11,KOLKATA,Salt Lake,Residential,GMR Group,1978,Gandhi Mallikarjuna Rao,1550,0.8,D,Monte Beahan,ranchi,5196,33350006,8023
19-Jan-11,07-Feb-11,KOLKATA,Dum Dum,Residential,Arun Excello,1987,Sriram P,1255,0.15,E,Maiya Ledner,howrah,2873,2909774,6752
20-Jan-11,08-Feb-11,KOLKATA,Tollygunge,Residential,Manjeera,1985,Yoganand,450,0.32,B,Dr. Elissa Harvey,coimbatore,2593,6674589,8044
21-Jan-11,09-Feb-11,KOLKATA,Ballygunge,Residential,Amrapalli Group,1973,Dr.Anil Kumar Sharma,1023,0.51,A,Alycia Weissnat,jabalpur,5824,19965953,6722
22-Jan-11,10-Feb-11,PUNE,Aundh,Commercial,Hiranandhani Developers,1980,Dr.RL Bhatia,1600,0.04,C,Aron Lesch,gwalior,5671,2025908,8931
23-Jan-11,11-Feb-11,PUNE,Kalyani Nagar,Commercial,Jain Builders,2005,Mr.Sandheep Mehta,775,0.77,E,Rae Prohaska DVM,vijayawada,5963,41364914,9009
24-Jan-11,12-Feb-11,PUNE,Hinjewadi,Commercial,Mantri Group,1999,Sushil Mantri,5464,0.94,D,Humberto Gottlieb,jodhpur,3047,17382708,6069
25-Jan-11,13-Feb-11,PUNE,Koregaon Park,Commercial,DLF,1946,T.C.Goyal,7542,0.29,E,Leopold Gorczany,madurai,7207,19849015,9497
26-Jan-11,14-Feb-11,PUNE,Magarpatta,Commercial,Aaryan Estates,2006,Aryan Patel,5336,0.21,B,Ms. Kaitlyn Lowe,raipur,4535,7624514,8006
27-Jan-11,15-Feb-11,PUNE,Aundh,Residential,Unitech,1972,Ramesh Chandra,1472,0.59,A,Jacynthe Becker II,kota,6726,22270324,5612
28-Jan-11,16-Feb-11,PUNE,Kalyani Nagar,Residential,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Murray Runolfsson,guwahati,6831,39541244,7718
29-Jan-11,17-Feb-11,PUNE,Hinjewadi,Residential,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Jamil Willms,chandigarh,2586,13481465,6951
30-Jan-11,18-Feb-11,PUNE,Koregaon Park,Residential,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Virgil Spencer,solapur,6893,27926990,5402
31-Jan-11,19-Feb-11,PUNE,Magarpatta,Residential,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Isabelle Raynor,hubballi-dharwad,4196,18668004,5932
01-Feb-11,20-Feb-11,Chennai,T-Nagar,Commercial,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Julianne Anderson,bareilly,8273,31240916,5035
02-Feb-11,21-Feb-11,Chennai,Anna Nagar,Commercial,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Jacynthe Hand,morababad,19524,142081029,9703
03-Feb-11,22-Feb-11,Chennai,Adyar,Commercial,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Freddy Kovacek,mysore,15195,97175824,8527
04-Feb-11,23-Feb-11,Chennai,Porur,Commercial,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Leland Streich,gurgaon,4720,34858380,9847
05-Feb-11,24-Feb-11,Chennai,OMR,Commercial,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Robin Hand DDS,aligarh,3160,16132590,6807
06-Feb-11,25-Feb-11,Chennai,T-Nagar,Residential,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Cynthia Rath DVM,jalandhar,8743,48477749,7393
07-Feb-11,26-Feb-11,Chennai,Anna Nagar,Residential,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Earnest Torphy III,tiruchirapalli,7395,50559615,9116
08-Feb-11,27-Feb-11,Chennai,Adyar,Residential,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Elisha Windler,bhubaneshwar,9117,40479480,5920
09-Feb-11,28-Feb-11,Chennai,Porur,Residential,TATA,1868,Ratan Tata,565502,0.79,E,Mrs. Mckenna Donnelly,salem,3592,25808700,9095
10-Feb-11,01-Mar-11,Chennai,OMR,Residential,VGN,1942,Pratish Devadoss,3683,0.26,D,Jett Leffler,mira-bhayandar,2924,5675952,7466
11-Feb-11,02-Mar-11,KOLKATA,New Alipore,Commercial,Carillion ,1927,Arlo Moore,8282,0.16,C,Mrs. Kathryne Tromp,trivandrum,4533,3999919,5515
12-Feb-11,03-Mar-11,KOLKATA,Salt Lake,Commercial,Kier Group (Inc. May Gurney),1862,Salvatore Hackett,7200,0.61,B,Emmy Kilback,bhiwandi,4545,26596113,9593
13-Feb-11,04-Mar-11,KOLKATA,Dum Dum,Commercial,Interserve,1856,Ms. Jeanie Hettinger,9644,0.85,E,Rossie Runte DVM,saharanpur,2595,13294055,6027
14-Feb-11,05-Mar-11,KOLKATA,Tollygunge,Commercial,Mitie,1954,Johnnie Senger,7511,0.2,D,Tomas Rowe,gorakhpur,2808,4348469,7743
15-Feb-11,06-Mar-11,KOLKATA,Ballygunge,Commercial,Morgan Sindall,1920,Lexi Moore,9930,0.56,B,Saul Wintheiser I,guntur,6014,28704100,8523
16-Feb-11,07-Mar-11,KOLKATA,New Alipore,Residential,BAM Construction/Nuttall,1850,Deon Emard,2625,0.02,D,Dr. Quinn Cormier,bikaner,4243,443733,5229
17-Feb-11,08-Mar-11,KOLKATA,Salt Lake,Residential,Laing O Rourke,1898,Ryann Becker,1723,0.73,E,Mr. Retta Fadel,amravati,5196,34888750,9198
18-Feb-11,09-Mar-11,KOLKATA,Dum Dum,Residential,Galliford Try ,1898,Carlee Koelpin,3361,0.5,C,Zena Kessler,noida,2873,11298073,7865
19-Feb-11,10-Mar-11,KOLKATA,Tollygunge,Residential,Keller,1866,Lavonne Hudson,6649,0.78,A,Royce Reichert,jamshedpur,2593,13385170,6618
20-Feb-11,11-Mar-11,KOLKATA,Ballygunge,Residential,ISG,1924,Delta Durgan,6405,0.56,D,Edyth Glover,bhilai,5824,25605565,7851
21-Feb-11,12-Mar-11,PUNE,Aundh,Commercial,Wates,1804,Florian D'Amore,2543,0.5,E,Rosario Olson IV,warangal,5671,24322919,8578
22-Feb-11,13-Mar-11,PUNE,Kalyani Nagar,Commercial,Amey UK,1917,Jonathon Sanford,1323,0.6,D,Marlee Shanahan,cuttack,5963,29677851,8295
23-Feb-11,14-Mar-11,PUNE,Hinjewadi,Commercial,Enterprise,1954,Polly Brakus,9410,0.87,C,Mozelle Koelpin,firozabad,3047,18842526,7108
24-Feb-11,15-Mar-11,PUNE,Koregaon Park,Commercial,Vinci UK,1808,Camron Rowe I,5160,0.58,B,Consuelo Upton,kochi,7207,37014431,8855
25-Feb-11,16-Mar-11,PUNE,Magarpatta,Commercial,Skanska,1904,Connor Wyman,2574,0.37,A,Faye Larkin,bhavnagar,4535,8572647,5109
26-Feb-11,17-Mar-11,PUNE,Aundh,Residential,Willmott Dixon ,1863,Lester Ryan,5982,0.67,D,Mr. Hiram Halvorson,dehradun,6726,35397929,7855
27-Feb-11,18-Mar-11,PUNE,Kalyani Nagar,Residential,Bouygues & Subsidiaries,1911,Viola Murazik,3761,0.92,E,Dr. Cathryn Corwin,durgapur,6831,38084191,6060
28-Feb-11,19-Mar-11,PUNE,Hinjewadi,Residential,Mace,1897,Coy Block,8200,0.86,B,Asa Carroll,asansol,2586,16799794,7554
01-Mar-11,20-Mar-11,PUNE,Koregaon Park,Residential,Costain,1949,Joany Littel,7859,0.64,A,Mr. Jennie Bradtke,nanded,6893,23239887,5268
02-Mar-11,21-Mar-11,PUNE,Magarpatta,Residential,Sir Robert McAlpine ,1836,Nedra Zieme,5965,0.35,E,Eliseo Price,kolhapur,4196,9958577,6781
03-Mar-11,22-Mar-11,Chennai,T-Nagar,Commercial,Mears,1824,Orion Nicolas,5484,0.41,B,Micaela Ritchie,ajmer,8273,24004689,7077
04-Mar-11,23-Mar-11,Chennai,Anna Nagar,Commercial,Lakeside 1 (Keepmoat),1944,Jacinthe Stehr,5581,0.26,D,Rahul Russel,gulbarga,19524,41843446,8243
05-Mar-11,24-Mar-11,Chennai,Adyar,Commercial,Bowmer & Kirkland ,1930,Effie Legros,1865,0.25,C,Kristoffer Bruen,jamnagar,15195,28331078,7458
06-Mar-11,25-Mar-11,Chennai,Porur,Commercial,Shepherd,1828,Donny O'Conner,5651,0.5,B,Mrs. Edwardo Connelly,ujjain,4720,22372800,9480
07-Mar-11,26-Mar-11,Chennai,OMR,Commercial,VolkerWessels UK,1884,Gregorio Rolfson,8564,0.2,E,Antwan Greenfelder,loni,3160,5500296,8703
08-Mar-11,27-Mar-11,Chennai,T-Nagar,Residential,Miller,1973,Ms. Rickey Windler,8732,0.72,D,Brigitte Borer,siliguri,8743,45890258,7290
09-Mar-11,28-Mar-11,Chennai,Anna Nagar,Residential,Morrison Utility Services ,1944,Nelson Johnson,2972,0.24,B,Bertha O'Kon,jhansi,7395,12508790,7048
10-Mar-11,29-Mar-11,Chennai,Adyar,Residential,Lend Lease,1959,Fritz Schmeler,7125,0.37,D,Izaiah Kuhic,ulhasnagar,9117,27087519,8030
11-Mar-11,30-Mar-11,Chennai,Porur,Residential,Imtech,1996,Greg Pfannerstill,1528,0.93,A,Dr. Shayne Waelchi,nellore,3592,19208220,5750
12-Mar-11,31-Mar-11,Chennai,OMR,Residential,J Murphy,1957,Tabitha Stamm,5579,0.43,E,Minerva Erdman,jammu,2924,12532966,9968
13-Mar-11,01-Apr-11,DELHI,Mayur Vihar,Commercial,NG Bailey,1940,Alize Jaskolski MD,2246,0.04,C,Garrison Daugherty,sangli-miraj & kupwad,8300,3272524,9857
14-Mar-11,02-Apr-11,DELHI,Chanakyapuri,Commercial,SSE Contracting,1880,Watson Wyman,5729,0.25,D,Tabitha Collier III,belgaum,47500,68400000,5760
15-Mar-11,03-Apr-11,DELHI,Vasant Kunj,Commercial,Mclaren,1862,Steve Guªann,5661,0.3,C,Elmo Casper,mangalore,12400,36947040,9932
16-Mar-11,04-Apr-11,DELHI,Saket,Commercial,Emcor,1827,Adrain Corkery,6375,0.45,D,Stephan Ward,ambattur,11500,33166575,6409
17-Mar-11,05-Apr-11,DELHI,Pithampura,Commercial,Renew Holdings ,1815,Jefferey Gaylord V,6423,0.93,C,Lane Halvorson,tirunelveli,25000,173770500,7474
18-Mar-11,06-Apr-11,DELHI,Mayur Vihar,Residential,Sisk,1890,Jovany Tillman III,2307,0.09,E,Dameon Hettinger,melagaon,8100,4325157,5933
19-Mar-11,07-Apr-11,DELHI,Chanakyapuri,Residential,Enserve (Spice),1932,Mikel Emard,4343,0.47,B,Paul Moore,gaya,47000,181403080,8212
20-Mar-11,08-Apr-11,DELHI,Vasant Kunj,Residential,Northstone NI,1938,Asa Bechtelar,6450,0.59,A,Cortney Thiel,jalgaon,12300,48491274,6682
21-Mar-11,09-Apr-11,DELHI,Saket,Residential,Seddon ,1846,Sincere Wisozk,3997,0.11,D,Neha Larkin,udaipur,12000,7409160,5613
22-Mar-11,10-Apr-11,DELHI,Pithampura,Residential,Geoffrey Osborne,1957,Green Kuhlman,3925,0.33,E,Zoey Nikolaus,maheshtala,21000,43839180,6326
23-Mar-11,11-Apr-11,HYDERABAD,KUKATPALLY,Commercial,Robertson Group ,1832,Brenden Hills,8611,0.14,B,Rafael Satterfield,tirupur,2704,2667334,7046
24-Mar-11,12-Apr-11,HYDERABAD,JUBLIEE HILLS,Commercial,Byrne Group,1959,Dante Stanton,7750,0.45,C,Jerel Effertz III,davanagere,10827,40268320,8265
25-Mar-11,13-Apr-11,HYDERABAD,BANJARA HILLS,Commercial,John Graham,1907,Jack Volkman,6540,0.87,D,Bernardo Mann,kozhikode,5791,35398182,7026
26-Mar-11,14-Apr-11,HYDERABAD,KONDAPUR,Commercial,Spie Matthew Hall,1963,Bethany Mohr IV,8478,0.19,E,Antwan Bruen,akola,24079,26933084,5887
27-Mar-11,15-Apr-11,HYDERABAD,MIYAPUR,Commercial,Severfield-Rowen,1845,Loyal O'Keefe,9210,0.87,C,Stewart Sawayn MD,kurnool,2659,13491341,5832
28-Mar-11,16-Apr-11,HYDERABAD,KUKATPALLY,Residential,Clancy,1940,Alvera Murray,9782,0.53,A,Kaleb McKenzie,rajpur sonarpur,2208,7655710,6542
29-Mar-11,17-Apr-11,HYDERABAD,JUBLIEE HILLS,Residential,RG Carter,1827,Carlie Stiedemann,1892,0.19,D,Vicky Kovacek,bokaro,8067,7896625,5152
30-Mar-11,18-Apr-11,HYDERABAD,BANJARA HILLS,Residential,Ardmore ,1884,Johan Hayes,1605,0.86,E,Adell Weber,south dumdum,5042,40768200,9402
31-Mar-11,19-Apr-11,HYDERABAD,KONDAPUR,Residential,Integral UK ,1910,Ramon Swaniawski,3722,0.6,C,Monserrate Bauch Sr.,bellary,3450,18810090,9087
01-Apr-11,20-Apr-11,HYDERABAD,MIYAPUR,Residential,Brookfield Multiplex,1994,Athena Morar,9625,0.21,A,Dr. Alyson Bogisich,patiala,2408,2813604,5564
02-Apr-11,21-Apr-11,BANGALORE,INDIRANAGAR,Commercial,RGCM,1812,Mrs. Stacy Haag,5351,0.99,D,Mr. Jacky Ullrich,gopalpur,5696,42292800,7500
03-Apr-11,22-Apr-11,BANGALORE,JAYANAGAR,Commercial,Lorne Stewart,1916,Lonnie Stroman DDS,4433,0.23,C,Dr. Mallie Cummings,agartala,96578,136853923,6161
04-Apr-11,23-Apr-11,BANGALORE,FRAZER TOWN,Commercial,GSH Group,1834,Gabriella Schimmel MD,9597,0.97,A,Ansel Wolf,bhagalpur,6359,47550885,7709
05-Apr-11,24-Apr-11,BANGALORE,HEBBAL,Commercial,Longcross,1961,Malachi Larson,8600,0.28,D,Rico Stark,muzaffarnagar,3704,7685059,7410
06-Apr-11,25-Apr-11,BANGALORE,KORAMANGALA,Commercial,Higgins ,1840,Joshua Dickens,2322,0.07,C,Cory Morar Jr.,bhatpara,8401,5437295,9246
07-Apr-11,26-Apr-11,BANGALORE,INDIRANAGAR,Residential,Carey Group ,1938,Melvina Veum,2757,0.88,D,Jordan Ruecker,panihati,9758,72775164,8475
08-Apr-11,27-Apr-11,BANGALORE,JAYANAGAR,Residential,Malcolm Group,1962,Demond Ward,3028,0.84,E,Florian Quitzon,latur,6700,36638280,6510
09-Apr-11,28-Apr-11,BANGALORE,FRAZER TOWN,Residential,United House,1959,Estel Botsford,1728,0.64,B,Gwendolyn Terry,dhule,6587,31672404,7513
10-Apr-11,29-Apr-11,BANGALORE,HEBBAL,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Wilhelmine Tremblay,rohtak,3587,15886464,5985
11-Apr-11,30-Apr-11,BANGALORE,KORAMANGALA,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Emmanuelle Pfeffer,korba,6048,34591294,7729
12-Apr-11,01-May-11,MUMBAI,CHEMBUR,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Shania Aufderhar,bhilwara,12984,65258623,6792
13-Apr-11,02-May-11,MUMBAI,VILE PARLE,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Valentin Yundt,brahmapur,19222,87180612,6129
14-Apr-11,03-May-11,MUMBAI,VASAI,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Trace Russel,muzaffarpur,3520,24479910,9398
15-Apr-11,04-May-11,MUMBAI,JUHU,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Murray Stamm,ahmednagar,24050,128796889,7237
16-Apr-11,05-May-11,MUMBAI,AIROLI,Commercial,T Clarke,1907,Wilson Botsford,4465,0.08,D,Eleanora Funk,mathura,20500,16245840,9906
17-Apr-11,06-May-11,MUMBAI,CHEMBUR,Residential,Buckingham ,1914,Roger Rempel,2994,0.69,E,Gwendolyn Bergstrom,kollam,13200,56232792,6174
18-Apr-11,07-May-11,MUMBAI,VILE PARLE,Residential,Eric Wright Group,1902,Wava Considine,8444,0.21,B,Bennie Schneider,avadi,18529,20829005,5353
19-Apr-11,08-May-11,MUMBAI,VASAI,Residential,SGN Contracting,1960,Kasandra Braun,1617,0.7,A,Arthur Ankunding,rajamundry,3594,22629621,8995
20-Apr-11,09-May-11,MUMBAI,JUHU,Residential,Midas,1984,Elta Cartwright,8927,0.61,D,Vicky Grady,kadapa,22920,100468903,7186
21-Apr-11,10-May-11,MUMBAI,AIROLI,Residential,City Building (Glasgow),1918,Casimir Ritchie V,1315,0.5,C,Dr. Augusta Hammes,kamarhati,18252,69905160,7660
22-Apr-11,11-May-11,DELHI,Mayur Vihar,Commercial,Dawnus,1964,Dale Turcotte I,8295,0.72,D,Skye Pfannerstill,bilaspur,8300,42662664,7139
23-Apr-11,12-May-11,DELHI,Chanakyapuri,Commercial,William Hare,1969,Tiffany Hudson,6016,0.37,A,Queen Jaskolski,shahjahanpur,47500,132954875,7565
24-Apr-11,13-May-11,DELHI,Vasant Kunj,Commercial,McNicholas Construction,1872,Arnold Weissnat DVM,7089,0.71,D,Ms. Reina Guªann,bijapur,12400,66399768,7542
25-Apr-11,14-May-11,DELHI,Saket,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Wilfrid Dickinson Sr.,rampur,11500,83295880,9788
26-Apr-11,15-May-11,DELHI,Pithampura,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Tad Larkin,shivamogga,25000,154641500,8359
27-Apr-11,16-May-11,DELHI,Mayur Vihar,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Fabiola Emard,chandrapur,8100,36791172,6138
28-Apr-11,17-May-11,DELHI,Chanakyapuri,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Enos Paucek DVM,junagadh,47000,197967760,5692
29-Apr-11,18-May-11,DELHI,Vasant Kunj,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Javonte Leuschke,thrissur,12300,85913778,9439
30-Apr-11,19-May-11,DELHI,Saket,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Brenda Donnelly II,alwar,12000,87965280,9906
01-May-11,20-May-11,DELHI,Pithampura,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Wilhelm Waelchi,bardhaman,21000,107552340,6921
02-May-11,21-May-11,HYDERABAD,KUKATPALLY,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Adan Corwin,kulti,2704,12387943,6191
03-May-11,22-May-11,HYDERABAD,JUBLIEE HILLS,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Mr. Idella Windler,kakinada,10827,41061398,5125
04-May-11,23-May-11,HYDERABAD,BANJARA HILLS,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Lea Fay II,nizamabad,5791,30404487,7095
05-May-11,24-May-11,HYDERABAD,KONDAPUR,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Destinee Kulas,parbhani,24079,166887696,9366
06-May-11,25-May-11,HYDERABAD,MIYAPUR,Commercial,T Clarke,1907,Wilson Botsford,4465,0.08,D,Crawford Wintheiser,tumkur,2659,1555621,7313
07-May-11,26-May-11,HYDERABAD,KUKATPALLY,Residential,Buckingham ,1914,Roger Rempel,2994,0.69,E,Claudie Wehner,hisar,2208,8822704,5791
08-May-11,27-May-11,HYDERABAD,JUBLIEE HILLS,Residential,Eric Wright Group,1902,Wava Considine,8444,0.21,B,Leonie Ondricka Sr.,ozhukarai,8067,10054305,5935
09-May-11,28-May-11,HYDERABAD,BANJARA HILLS,Residential,SGN Contracting,1960,Kasandra Braun,1617,0.7,A,Bobbie Lockman,bihar sharif,5042,25492856,7223
10-May-11,29-May-11,HYDERABAD,KONDAPUR,Residential,Midas,1984,Elta Cartwright,8927,0.61,D,Hester Halvorson,panipat,3450,17189556,8168
11-May-11,30-May-11,HYDERABAD,MIYAPUR,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Holden Goldner,darbhanga,2408,14426424,8096
12-May-11,31-May-11,BANGALORE,INDIRANAGAR,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Macie Ledner,bally,5696,28046876,6654
13-May-11,01-Jun-11,BANGALORE,JAYANAGAR,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Dewitt Leuschke,aizwal,96578,464397245,6498
14-May-11,02-Jun-11,BANGALORE,FRAZER TOWN,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Laurine Bradtke IV,dewas,6359,40247510,8553
15-May-11,03-Jun-11,BANGALORE,HEBBAL,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Adella Huel,ichalkaranji,3704,24142376,8808
16-May-11,04-Jun-11,BANGALORE,KORAMANGALA,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Adeline Morissette,tirupati,8401,48036750,7727
17-May-11,05-Jun-11,BANGALORE,INDIRANAGAR,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Mr. Ola Ferry,karnal,9758,45730086,6333
